"Trade Date","ADVISOR / CLIENT","RR #","Symbol","B/S","Shares","Price","Commission","Comm./Shr. ($)"
"04/16/2013","AELTUS/ING IVESTMENT MGT","215","NKTR","S","10,400","10.73","312.00","0.030"
"04/05/2013","AELTUS/ING IVESTMENT MGT","215","RDN","B","500,000","10.06","15,000.00","0.030"
"04/05/2013","AELTUS/ING IVESTMENT MGT","215","XOM","B","150,618","88.78","4,518.54","0.030"
"05/03/2013","AH LISANTI","006","AXL","B","67,820","15.39","3,391.00","0.050"
"10/29/2013","AH LISANTI","006","FIVE","B","22,470","49.71","1,123.50","0.050"
"11/13/2013","AH LISANTI","006","SAVE","S","37,550","44.13","1,877.50","0.050"
"08/26/2013","ALLIANZ/NICOLAS APPLEGATE       ","084","AMGN","S","74,100","114.45","1,482.00","0.020"
"01/22/2013","ALLIANZ/NICOLAS APPLEGATE       ","084","AMZN","B","19,700","270.43","394.00","0.020"
"07/17/2013","ALLIANZ/NICOLAS APPLEGATE       ","084","CBK","B","18,137","7.16","634.80","0.035"
"09/24/2013","ALLIANZ/NICOLAS APPLEGATE       ","084","CMCSA","B","55,500","44.20","1,942.50","0.035"
"10/31/2013","ALLIANZ/NICOLAS APPLEGATE       ","084","F","B","233,500","17.24","8,172.50","0.035"
"01/18/2013","ALLIANZ/NICOLAS APPLEGATE       ","084","FLR","S","27,100","62.85","542.00","0.020"
"02/14/2013","ALLIANZ/NICOLAS APPLEGATE       ","084","GE","B","44,100","23.25","882.00","0.020"
"10/18/2013","ALLIANZ/NICOLAS APPLEGATE       ","084","GILD","B","150,000","67.88","1,500.00","0.010"
"10/30/2013","ALLIANZ/NICOLAS APPLEGATE       ","084","INTC","B","50,000","24.50","1,750.00","0.035"
"10/21/2013","ALLIANZ/NICOLAS APPLEGATE       ","084","IPG","S","66,900","15.80","2,341.50","0.035"
"10/22/2013","ALLIANZ/NICOLAS APPLEGATE       ","084","IPG","S","74,030","15.70","2,591.07","0.035"
"10/23/2013","ALLIANZ/NICOLAS APPLEGATE       ","084","IPG","S","28,400","15.49","994.00","0.035"
"09/19/2013","ALLIANZ/NICOLAS APPLEGATE       ","084","MET","S","162,260","47.14","5,679.10","0.035"
"04/24/2013","ALLIANZ/NICOLAS APPLEGATE       ","084","MSFT","B","49,900","31.73","998.00","0.020"
"05/28/2013","ALLIANZ/NICOLAS APPLEGATE       ","084","NOV","S","21,800","71.55","436.00","0.020"
"11/07/2013","ALLIANZ/NICOLAS APPLEGATE       ","084","PRU","S","226,500","84.54","2,265.00","0.010"
"08/19/2013","ALLIANZ/NICOLAS APPLEGATE       ","084","RPTP","B","41,344","11.67","1,447.05","0.035"
"05/15/2013","ALLIANZ/NICOLAS APPLEGATE       ","084","THR","S","19,500","19.53","682.50","0.035"
"05/20/2013","ALLIANZ/NICOLAS APPLEGATE       ","084","TXN","S","52,900","36.64","1,058.00","0.020"
"10/31/2013","ALLIANZ/NICOLAS APPLEGATE       ","084","V","B","17,200","197.30","602.00","0.035"
"10/21/2013","ALTIMETER CAPITAL MGMT.","029","DAL","SS","286,000","24.74","11,440.00","0.040"
"10/21/2013","ALTIMETER CAPITAL MGMT.","029","EXPE","B","50,000","48.10","2,000.00","0.040"
"03/14/2013","ALTIMETER CAPITAL MGMT.","029","UAL","B","154,000","30.99","4,620.00","0.030"
"03/15/2013","ALTIMETER CAPITAL MGMT.","029","UAL","B","173,400","30.89","5,202.00","0.030"
"03/27/2013","ALTIMETER CAPITAL MGMT.","029","UAL","B","50,000","32.25","1,500.00","0.030"
"08/14/2013","ALTIMETER CAPITAL MGMT.","029","UAL","B","50,000","30.24","1,500.00","0.030"
"10/21/2013","ALTIMETER CAPITAL MGMT.","029","UAL","S","103,000","30.99","4,120.00","0.040"
"11/27/2013","ALTIMETER CAPITAL MGMT.","029","ZNGA","S","200,000","4.40","8,000.00","0.040"
"04/18/2013","AMBER CAPITAL           ","046","ANV","SS","291,000","10.49","11,640.00","0.040"
"09/03/2013","AMBER CAPITAL           ","291","T","B","462,130","34.01","18,485.18","0.040"
"06/20/2013","AMBER CAPITAL           ","046","T","SS","137,700","34.99","5,508.00","0.040"
"11/07/2013","AMICI CAPITAL N/C","044","DAL","S","80,000","26.82","3,200.00","0.040"
"11/01/2013","AMICI CAPITAL N/C","044","FB","B","50,000","50.71","2,000.00","0.040"
"10/28/2013","AMICI CAPITAL N/C","044","NTAP","S","50,000","39.67","2,000.00","0.040"
"10/04/2013","AMICI CAPITAL N/C","044","SPF","B","50,000","7.68","2,000.00","0.040"
"10/08/2013","AMICI CAPITAL N/C","044","XLF","SS","25,000","19.65","1,000.00","0.040"
"10/08/2013","AMICI CAPITAL N/C","044","XLY","SS","307,000","59.34","12,280.00","0.040"
"08/26/2013","AMICI CAPITAL N/C FROM PORTER-ORLIN","044","BCRX","SS","10,000","6.96","400.00","0.040"
"08/27/2013","AMICI CAPITAL N/C FROM PORTER-ORLIN","044","DB","B","75,000","43.72","3,000.00","0.040"
"08/14/2013","AMICI CAPITAL N/C FROM PORTER-ORLIN","044","ITC","B","25,000","88.29","1,000.00","0.040"
"08/16/2013","AMICI CAPITAL N/C FROM PORTER-ORLIN","044","IWM","B","100,000","101.95","4,000.00","0.040"
"02/26/2013","APEX CAPITAL MGMT.      ","261","AEO","S","15,600","20.55","624.00","0.040"
"12/03/2013","APEX CAPITAL MGMT.      ","033","AFSI","SS","28,700","40.47","1,148.00","0.000"
"02/26/2013","APEX CAPITAL MGMT.      ","261","ALV","C","5,100","64.34","204.00","0.040"
"09/16/2013","APEX CAPITAL MGMT.      ","033","ATI","C","66,700","31.05","2,668.00","0.040"
"02/26/2013","APEX CAPITAL MGMT.      ","261","ATVI","C","15,900","14.21","636.00","0.040"
"02/26/2013","APEX CAPITAL MGMT.      ","261","BID","S","4,500","37.43","180.00","0.040"
"02/26/2013","APEX CAPITAL MGMT.      ","261","BRLI","C","4,700","25.60","188.00","0.040"
"02/26/2013","APEX CAPITAL MGMT.      ","261","BSX","C","27,900","7.28","837.00","0.030"
"02/26/2013","APEX CAPITAL MGMT.      ","261","CNQR","C","4,500","69.65","180.00","0.040"
"05/23/2013","APEX CAPITAL MGMT.      ","033","CX","C","145,800","11.37","5,832.00","0.040"
"06/18/2013","APEX CAPITAL MGMT.      ","033","DLTR","S","66,200","50.45","2,648.00","0.040"
"02/26/2013","APEX CAPITAL MGMT.      ","261","DNDN","S","26,100","5.33","783.00","0.030"
"05/03/2013","APEX CAPITAL MGMT.      ","033","DNR","B","82,200","17.93","3,288.00","0.040"
"02/26/2013","APEX CAPITAL MGMT.      ","261","FL","S","4,800","33.12","192.00","0.040"
"02/26/2013","APEX CAPITAL MGMT.      ","261","HTZ","S","26,400","19.11","1,056.00","0.040"
"12/03/2013","APEX CAPITAL MGMT.      ","033","INTU","S","3,700","74.48","148.00","0.000"
"02/26/2013","APEX CAPITAL MGMT.      ","261","IPGP","C","4,300","57.49","172.00","0.040"
"02/26/2013","APEX CAPITAL MGMT.      ","261","ITMN","S","18,600","8.39","558.00","0.030"
"10/18/2013","APEX CAPITAL MGMT.      ","033","KOG","C","175,100","13.24","7,004.00","0.040"
"12/03/2013","APEX CAPITAL MGMT.      ","033","LL","SS","20,100","95.75","804.00","0.000"
"02/26/2013","APEX CAPITAL MGMT.      ","261","LTD","S","16,500","43.27","660.00","0.040"
"09/25/2013","APEX CAPITAL MGMT.      ","033","MAKO","S","100,000","29.49","4,000.00","0.040"
"02/26/2013","APEX CAPITAL MGMT.      ","261","MANH","C","3,100","68.67","124.00","0.040"
"01/15/2013","APEX CAPITAL MGMT.      ","033","MGM","B","80,900","12.92","3,236.00","0.040"
"02/26/2013","APEX CAPITAL MGMT.      ","261","MR","C","4,600","37.71","184.00","0.040"
"12/03/2013","APEX CAPITAL MGMT.      ","033","MR","SS","30,900","41.34","1,236.00","0.000"
"02/26/2013","APEX CAPITAL MGMT.      ","261","MTW","S","14,700","17.93","588.00","0.040"
"04/30/2013","APEX CAPITAL MGMT.      ","033","NEM","S","51,400","32.00","2,056.00","0.040"
"02/26/2013","APEX CAPITAL MGMT.      ","261","NFLX","S","4,500","181.00","180.00","0.040"
"02/26/2013","APEX CAPITAL MGMT.      ","261","OPEN","S","20,000","53.80","800.00","0.040"
"02/26/2013","APEX CAPITAL MGMT.      ","261","OTEX","C","4,600","53.97","184.00","0.040"
"12/03/2013","APEX CAPITAL MGMT.      ","033","PRGO","B","12,000","155.51","480.00","0.000"
"02/26/2013","APEX CAPITAL MGMT.      ","261","SAP","C","4,500","77.51","180.00","0.040"
"02/26/2013","APEX CAPITAL MGMT.      ","261","SINA","S","4,700","51.13","188.00","0.040"
"04/09/2013","APEX CAPITAL MGMT.      ","033","TJX","C","50,000","47.95","2,000.00","0.040"
"04/17/2013","APEX CAPITAL MGMT.      ","033","TXT","B","50,000","25.68","2,000.00","0.040"
"08/01/2013","APEX CAPITAL MGMT.      ","033","TYC","S","75,000","35.25","3,000.00","0.040"
"02/26/2013","APEX CAPITAL MGMT.      ","261","ULTA","S","5,100","86.51","204.00","0.040"
"12/03/2013","APEX CAPITAL MGMT.      ","033","ULTI","C","6,500","153.67","260.00","0.000"
"04/23/2013","APEX CAPITAL MGMT.      ","033","UTX","C","79,600","91.57","3,184.00","0.040"
"02/26/2013","APEX CAPITAL MGMT.      ","261","VMW","S","2,600","71.13","104.00","0.040"
